time,newborn
1981. 01,88151
1981. 02,93556
1981. 03,70421
1981. 04,66093
1981. 05,68940
1981. 06,64634
1981. 07,67722
1981. 08,69023
1981. 09,68127
1981. 10,69425
1981. 11,70250
1981. 12,71067
1982. 01,93141
1982. 02,94346
1982. 03,70860
1982. 04,66316
1982. 05,64466
1982. 06,63209
1982. 07,64074
1982. 08,64447
1982. 09,64079
1982. 10,68418
1982. 11,66545
1982. 12,68411
1983. 01,86723
1983. 02,89422
1983. 03,61169
1983. 04,56581
1983. 05,57580
1983. 06,54972
1983. 07,57652
1983. 08,58611
1983. 09,59233
1983. 10,63446
1983. 11,63070
1983. 12,60696
1984. 01,78667
1984. 02,86565
1984. 03,50844
1984. 04,48969
1984. 05,48151
1984. 06,46690
1984. 07,50651
1984. 08,51756
1984. 09,52811
1984. 10,56946
1984. 11,53017
1984. 12,49726
1985. 01,72917
1985. 02,75291
1985. 03,48440
1985. 04,45366
1985. 05,47386
1985. 06,46209
1985. 07,50174
1985. 08,52437
1985. 09,51726
1985. 10,57499
1985. 11,54395
1985. 12,53649
1986. 01,69708
1986. 02,73659
1986. 03,48593
1986. 04,47880
1986. 05,47800
1986. 06,45245
1986. 07,48895
1986. 08,49608
1986. 09,50185
1986. 10,52638
1986. 11,52631
1986. 12,49177
1987. 01,66975
1987. 02,72652
1987. 03,46306
1987. 04,47635
1987. 05,47452
1987. 06,45605
1987. 07,46936
1987. 08,48582
1987. 09,50479
1987. 10,53605
1987. 11,50425
1987. 12,47179
1988. 01,69373
1988. 02,72415
1988. 03,43404
1988. 04,44318
1988. 05,46754
1988. 06,44489
1988. 07,47122
1988. 08,49807
1988. 09,52448
1988. 10,55500
1988. 11,54895
1988. 12,52567
1989. 01,67060
1989. 02,74369
1989. 03,44941
1989. 04,45984
1989. 05,48205
1989. 06,45277
1989. 07,48222
1989. 08,50202
1989. 09,53121
1989. 10,53824
1989. 11,53011
1989. 12,55215
1990. 01,66120
1990. 02,79410
1990. 03,45610
1990. 04,49619
1990. 05,51680
1990. 06,48054
1990. 07,51089
1990. 08,51712
1990. 09,52869
1990. 10,53049
1990. 11,50881
1990. 12,49645
1991. 01,71336
1991. 02,71897
1991. 03,53812
1991. 04,53940
1991. 05,54268
1991. 06,50729
1991. 07,55195
1991. 08,56054
1991. 09,58557
1991. 10,62290
1991. 11,59956
1991. 12,61241
1992. 01,71945
1992. 02,72435
1992. 03,57645
1992. 04,57983
1992. 05,56548
1992. 06,54395
1992. 07,56424
1992. 08,57607
1992. 09,60199
1992. 10,63420
1992. 11,60482
1992. 12,61595
1993. 01,69626
1993. 02,69872
1993. 03,62801
1993. 04,58952
1993. 05,56333
1993. 06,53701
1993. 07,55802
1993. 08,56583
1993. 09,57843
1993. 10,58737
1993. 11,57489
1993. 12,58087
1994. 01,70067
1994. 02,67374
1994. 03,63070
1994. 04,60202
1994. 05,59182
1994. 06,54443
1994. 07,56289
1994. 08,56759
1994. 09,58753
1994. 10,59250
1994. 11,57861
1994. 12,57935
1995. 01,67023
1995. 02,65788
1995. 03,65174
1995. 04,55052
1995. 05,55508
1995. 06,53353
1995. 07,54285
1995. 08,57131
1995. 09,59879
1995. 10,61482
1995. 11,59037
1995. 12,61308
1996. 01,67392
1996. 02,62592
1996. 03,63163
1996. 04,56600
1996. 05,54544
1996. 06,50434
1996. 07,52537
1996. 08,54171
1996. 09,57670
1996. 10,60876
1996. 11,55426
1996. 12,55821
1997. 01,63268
1997. 02,58144
1997. 03,62160
1997. 04,56949
1997. 05,55270
1997. 06,50978
1997. 07,53369
1997. 08,53254
1997. 09,55461
1997. 10,57136
1997. 11,53848
1997. 12,55557
1998. 01,60347
1998. 02,56841
1998. 03,60238
1998. 04,54814
1998. 05,52046
1998. 06,49571
1998. 07,50151
1998. 08,49634
1998. 09,53484
1998. 10,52709
1998. 11,50164
1998. 12,51595
1999. 01,58607
1999. 02,53305
1999. 03,57495
1999. 04,52386
1999. 05,50516
1999. 06,46765
1999. 07,48780
1999. 08,48502
1999. 09,51056
1999. 10,52224
1999. 11,50559
1999. 12,50473
2000. 01,61644
2000. 02,56723
2000. 03,59878
2000. 04,53058
2000. 05,52492
2000. 06,46774
2000. 07,48377
2000. 08,50623
2000. 09,52913
2000. 10,54429
2000. 11,52403
2000. 12,50775
2001. 01,56949
2001. 02,49939
2001. 03,54549
2001. 04,48309
2001. 05,46802
2001. 06,41809
2001. 07,42404
2001. 08,43830
2001. 09,45673
2001. 10,44814
2001. 11,42753
2001. 12,42103
2002. 01,48825
2002. 02,43579
2002. 03,47753
2002. 04,43453
2002. 05,41977
2002. 06,37575
2002. 07,40361
2002. 08,39751
2002. 09,39615
2002. 10,39458
2002. 11,37921
2002. 12,36643
2003. 01,45423
2003. 02,41909
2003. 03,45972
2003. 04,43040
2003. 05,41132
2003. 06,36879
2003. 07,38008
2003. 08,38054
2003. 09,41645
2003. 10,43345
2003. 11,40752
2003. 12,38877
2004. 01,45778
2004. 02,41059
2004. 03,45422
2004. 04,40611
2004. 05,38933
2004. 06,36086
2004. 07,38031
2004. 08,38324
2004. 09,39238
2004. 10,40855
2004. 11,37432
2004. 12,35189
2005. 01,41354
2005. 02,35810
2005. 03,41052
2005. 04,36605
2005. 05,35983
2005. 06,33725
2005. 07,34658
2005. 08,36003
2005. 09,37413
2005. 10,37283
2005. 11,35737
2005. 12,33084
2006. 01,40692
2006. 02,37522
2006. 03,41209
2006. 04,37666
2006. 05,37740
2006. 06,35347
2006. 07,35154
2006. 08,37457
2006. 09,38471
2006. 10,38556
2006. 11,37110
2006. 12,34835
2007. 01,43704
2007. 02,39485
2007. 03,43578
2007. 04,40290
2007. 05,39913
2007. 06,37112
2007. 07,39522
2007. 08,44041
2007. 09,44871
2007. 10,45722
2007. 11,41865
2007. 12,36719
2008. 01,46747
2008. 02,39495
2008. 03,41318
2008. 04,38783
2008. 05,37598
2008. 06,35035
2008. 07,38042
2008. 08,37787
2008. 09,40037
2008. 10,39886
2008. 11,36473
2008. 12,34691
2009. 01,44149
2009. 02,36681
2009. 03,39834
2009. 04,37539
2009. 05,35864
2009. 06,34122
2009. 07,35779
2009. 08,36169
2009. 09,38187
2009. 10,37737
2009. 11,35172
2009. 12,33616
2010. 01,42936
2010. 02,36639
2010. 03,40975
2010. 04,38336
2010. 05,37005
2010. 06,36028
2010. 07,37106
2010. 08,38392
2010. 09,42294
2010. 10,43625
2010. 11,41318
2010. 12,35517
2011. 01,47577
2011. 02,38160
2011. 03,43260
2011. 04,40376
2011. 05,38958
2011. 06,36766
2011. 07,38168
2011. 08,39360
2011. 09,38963
2011. 10,38359
2011. 11,37328
2011. 12,33990
2012. 01,44984
2012. 02,40609
2012. 03,43209
2012. 04,40094
2012. 05,39388
2012. 06,38170
2012. 07,40127
2012. 08,41455
2012. 09,41735
2012. 10,41889
2012. 11,38579
2012. 12,34311
2013. 01,44247
2013. 02,36645
2013. 03,38540
2013. 04,36738
2013. 05,35626
2013. 06,33154
2013. 07,36188
2013. 08,36400
2013. 09,37063
2013. 10,36055
2013. 11,33827
2013. 12,31972
2014. 01,41229
2014. 02,36754
2014. 03,38021
2014. 04,37183
2014. 05,35749
2014. 06,34171
2014. 07,36390
2014. 08,36539
2014. 09,37879
2014. 10,36450
2014. 11,32379
2014. 12,32691
2015. 01,41914
2015. 02,35709
2015. 03,40329
2015. 04,38072
2015. 05,36534
2015. 06,35520
2015. 07,36612
2015. 08,35207
2015. 09,36444
2015. 10,36702
2015. 11,33467
2015. 12,31910
2016. 01,39405
2016. 02,34830
2016. 03,38131
2016. 04,35147
2016. 05,34341
2016. 06,32849
2016. 07,33920
2016. 08,33897
2016. 09,34375
2016. 10,31592
2016. 11,30366
2016. 12,27390
2017. 01,34834
2017. 02,30499
2017. 03,33196
2017. 04,30337
2017. 05,30303
2017. 06,28892
2017. 07,29418
2017. 08,30135
2017. 09,30085
2017. 10,27857
2017. 11,27068
2017. 12,25147
2018. 01,32198
2018. 02,27575
2018. 03,29987
2018. 04,27734
2018. 05,27949
2018. 06,26357
2018. 07,27033
2018. 08,27381
2018. 09,26066
2018. 10,26474
2018. 11,25301
2018. 12,22767
2019. 01,30271
2019. 02,25710
2019. 03,27049
2019. 04,26104
2019. 05,25299
2019. 06,23992
2019. 07,25222
2019. 08,24371
2019. 09,24090
2019. 10,25613
2019. 11,23727
2019. 12,21228
2020. 01 p),26818
2020. 02 p),22854
2020. 03 p),24378
2020. 04 p),23420
2020. 05 p),23001
2020. 06 p),22193
2020. 07 p),23067
2020. 08 p),22472
